ags5,ags8,ags11,beschaeftigte_ot,ot_besch_ao,kr_be_ao_ges,gem_be_ao_ges,ot_besch_ags5_python
01055,01055029,01055029003,18.0,10.0,64509,25.0,64606.0
01055,01055029,01055029004,2.0,1.0,64509,25.0,64606.0
01055,01055031,01055031001,3.0,4.0,64509,93.0,64606.0
01055,01055031,01055031002,3.0,4.0,64509,93.0,64606.0
01055,01055031,01055031004,5.0,7.0,64509,93.0,64606.0
01055,01055031,01055031005,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031006,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031007,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031009,29.0,52.0,64509,93.0,64606.0
01055,01055031,01055031010,4.0,6.0,64509,93.0,64606.0
01055,01055031,01055031011,2.0,11.0,64509,93.0,64606.0
01055,01055031,01055031012,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031014,1.0,1.0,64509,93.0,64606.0
01055,01055031,01055031016,1.0,2.0,64509,93.0,64606.0
01055,01055031,01055031017,14.0,19.0,64509,93.0,64606.0
01055,01055031,01055031018,1.0,1.0,64509,93.0,64606.0
01055,01055032,01055032001,7034.0,7492.0,64509,8729.0,64606.0
01055,01055032,01055032003,1117.0,1045.0,64509,8729.0,64606.0
01055,01055032,01055032004,44.0,192.0,64509,8729.0,64606.0
01055,01055033,01055033001,23.0,33.0,64509,4412.0,64606.0
01055,01055033,01055033002,2.0,3.0,64509,4412.0,64606.0
01055,01055033,01055033005,50.0,55.0,64509,4412.0,64606.0
01055,01055033,01055033006,34.0,36.0,64509,4412.0,64606.0
01055,01055033,01055033007,40.0,44.0,64509,4412.0,64606.0
01055,01055033,01055033008,54.0,110.0,64509,4412.0,64606.0
01055,01055033,01055033009,3088.0,4132.0,64509,4412.0,64606.0
01055,01055035,01055035001,29.0,54.0,64509,2691.0,64606.0
01055,01055035,01055035002,2.0,4.0,64509,2691.0,64606.0
01055,01055035,01055035003,3.0,7.0,64509,2691.0,64606.0
01055,01055035,01055035005,16.0,28.0,64509,2691.0,64606.0
01055,01055035,01055035006,69.0,87.0,64509,2691.0,64606.0
01055,01055035,01055035007,21.0,17.0,64509,2691.0,64606.0
01055,01055035,01055035008,651.0,495.0,64509,2691.0,64606.0
01055,01055035,01055035009,18.0,40.0,64509,2691.0,64606.0
01055,01055035,01055035010,29.0,43.0,64509,2691.0,64606.0
01055,01055035,01055035011,28.0,40.0,64509,2691.0,64606.0
01055,01055035,01055035012,689.0,670.0,64509,2691.0,64606.0
01055,01055035,01055035013,307.0,521.0,64509,2691.0,64606.0
01055,01055035,01055035014,1.0,1.0,64509,2691.0,64606.0
01055,01055035,01055035015,4.0,8.0,64509,2691.0,64606.0
01055,01055035,01055035016,553.0,555.0,64509,2691.0,64606.0
01055,01055035,01055035018,65.0,115.0,64509,2691.0,64606.0
01055,01055035,01055035019,4.0,5.0,64509,2691.0,64606.0
01055,01055036,01055036001,3.0,11.0,64509,67.0,64606.0
01055,01055036,01055036002,16.0,15.0,64509,67.0,64606.0
01055,01055036,01055036003,22.0,12.0,64509,67.0,64606.0
01055,01055036,01055036004,7.0,5.0,64509,67.0,64606.0
01055,01055036,01055036005,17.0,11.0,64509,67.0,64606.0
01055,01055036,01055036006,9.0,14.0,64509,67.0,64606.0
01055,01055037,01055037001,5.0,9.0,64509,691.0,64606.0
01055,01055037,01055037002,10.0,38.0,64509,691.0,64606.0
01055,01055037,01055037003,222.0,223.0,64509,691.0,64606.0
01055,01055037,01055037004,102.0,165.0,64509,691.0,64606.0
01055,01055037,01055037005,21.0,30.0,64509,691.0,64606.0
01055,01055037,01055037006,13.0,35.0,64509,691.0,64606.0
01055,01055037,01055037007,11.0,13.0,64509,691.0,64606.0
01055,01055037,01055037008,2.0,12.0,64509,691.0,64606.0
01055,01055037,01055037009,12.0,17.0,64509,691.0,64606.0
01055,01055037,01055037010,46.0,69.0,64509,691.0,64606.0
01055,01055037,01055037011,1.0,1.0,64509,691.0,64606.0
01055,01055037,01055037012,26.0,60.0,64509,691.0,64606.0
01055,01055037,01055037013,25.0,28.0,64509,691.0,64606.0
01055,01055038,01055038001,9.0,11.0,64509,494.0,64606.0
01055,01055038,01055038002,60.0,45.0,64509,494.0,64606.0
01055,01055038,01055038003,3.0,4.0,64509,494.0,64606.0
01055,01055038,01055038004,78.0,73.0,64509,494.0,64606.0
01055,01055038,01055038006,22.0,26.0,64509,494.0,64606.0
01055,01055038,01055038007,7.0,24.0,64509,494.0,64606.0
01055,01055038,01055038008,6.0,7.0,64509,494.0,64606.0
01055,01055038,01055038009,209.0,304.0,64509,494.0,64606.0
01055,01055038,01055038010,1.0,1.0,64509,494.0,64606.0
01055,01055038,01055038011,3.0,4.0,64509,494.0,64606.0
01055,01055039,01055039001,19.0,32.0,64509,1376.0,64606.0
01055,01055039,01055039002,11.0,23.0,64509,1376.0,64606.0
01055,01055039,01055039003,1080.0,541.0,64509,1376.0,64606.0
01055,01055039,01055039004,78.0,410.0,64509,1376.0,64606.0
01055,01055039,01055039005,756.0,369.0,64509,1376.0,64606.0
01055,01055040,01055040001,17.0,18.0,64509,3862.0,64606.0
01055,01055040,01055040002,131.0,95.0,64509,3862.0,64606.0
01055,01055040,01055040003,82.0,70.0,64509,3862.0,64606.0
01055,01055040,01055040004,18.0,34.0,64509,3862.0,64606.0
01055,01055040,01055040005,18.0,21.0,64509,3862.0,64606.0
01055,01055040,01055040006,26.0,31.0,64509,3862.0,64606.0
01055,01055040,01055040007,46.0,40.0,64509,3862.0,64606.0
01055,01055040,01055040008,5.0,22.0,64509,3862.0,64606.0
01055,01055040,01055040009,581.0,851.0,64509,3862.0,64606.0
01055,01055040,01055040010,9.0,30.0,64509,3862.0,64606.0
01055,01055040,01055040011,10.0,14.0,64509,3862.0,64606.0
01055,01055040,01055040012,3376.0,2635.0,64509,3862.0,64606.0
01055,01055041,01055041001,22.0,16.0,64509,639.0,64606.0
01055,01055041,01055041002,15.0,20.0,64509,639.0,64606.0
01055,01055041,01055041003,102.0,80.0,64509,639.0,64606.0
01055,01055041,01055041004,10.0,7.0,64509,639.0,64606.0
01055,01055041,01055041005,7.0,21.0,64509,639.0,64606.0
01055,01055041,01055041006,9.0,9.0,64509,639.0,64606.0
01055,01055041,01055041007,28.0,31.0,64509,639.0,64606.0
01055,01055041,01055041008,36.0,28.0,64509,639.0,64606.0
01055,01055041,01055041009,16.0,30.0,64509,639.0,64606.0
01055,01055041,01055041010,53.0,39.0,64509,639.0,64606.0
01055,01055041,01055041011,7.0,18.0,64509,639.0,64606.0
01055,01055041,01055041012,259.0,276.0,64509,639.0,64606.0
01055,01055041,01055041013,3.0,3.0,64509,639.0,64606.0
01055,01055041,01055041014,71.0,62.0,64509,639.0,64606.0
01055,01055042,01055042001,159.0,180.0,64509,4257.0,64606.0
01055,01055042,01055042002,76.0,99.0,64509,4257.0,64606.0
01055,01055042,01055042003,1912.0,2809.0,64509,4257.0,64606.0
01055,01055042,01055042004,902.0,1169.0,64509,4257.0,64606.0
01055,01055043,01055043002,585.0,375.0,64509,902.0,64606.0
01055,01055043,01055043003,11.0,36.0,64509,902.0,64606.0
01055,01055043,01055043004,3.0,3.0,64509,902.0,64606.0
01055,01055043,01055043005,4.0,8.0,64509,902.0,64606.0
01055,01055043,01055043006,4.0,8.0,64509,902.0,64606.0
01055,01055043,01055043007,3.0,20.0,64509,902.0,64606.0
01055,01055043,01055043008,64.0,177.0,64509,902.0,64606.0
01055,01055043,01055043010,23.0,24.0,64509,902.0,64606.0
01055,01055043,01055043011,3.0,3.0,64509,902.0,64606.0
01055,01055043,01055043013,3.0,32.0,64509,902.0,64606.0
01055,01055043,01055043014,1.0,19.0,64509,902.0,64606.0
01055,01055043,01055043015,7.0,7.0,64509,902.0,64606.0
01055,01055043,01055043016,11.0,12.0,64509,902.0,64606.0
01055,01055043,01055043017,21.0,83.0,64509,902.0,64606.0
01055,01055043,01055043018,128.0,90.0,64509,902.0,64606.0
01055,01055044,01055044001,67.0,90.0,64509,2809.0,64606.0
01055,01055044,01055044002,470.0,311.0,64509,2809.0,64606.0
01055,01055044,01055044003,61.0,83.0,64509,2809.0,64606.0
01055,01055044,01055044004,284.0,430.0,64509,2809.0,64606.0
01055,01055044,01055044005,256.0,258.0,64509,2809.0,64606.0
01055,01055044,01055044006,10.0,12.0,64509,2809.0,64606.0
01055,01055044,01055044007,1137.0,1325.0,64509,2809.0,64606.0
01055,01055044,01055044008,50.0,45.0,64509,2809.0,64606.0
01055,01055044,01055044009,242.0,187.0,64509,2809.0,64606.0
01055,01055044,01055044010,32.0,40.0,64509,2809.0,64606.0
01055,01055044,01055044011,11.0,29.0,64509,2809.0,64606.0
01055,01055046,01055046001,19.0,27.0,64509,4940.0,64606.0
01055,01055046,01055046002,25.0,30.0,64509,4940.0,64606.0
01055,01055046,01055046003,3.0,17.0,64509,4940.0,64606.0
01055,01055046,01055046004,4.0,25.0,64509,4940.0,64606.0
01055,01055046,01055046005,56.0,78.0,64509,4940.0,64606.0
01055,01055046,01055046006,31.0,23.0,64509,4940.0,64606.0
01055,01055046,01055046007,7.0,31.0,64509,4940.0,64606.0
01055,01055046,01055046008,16.0,15.0,64509,4940.0,64606.0
01055,01055046,01055046009,8.0,6.0,64509,4940.0,64606.0
01055,01055046,01055046010,3320.0,2970.0,64509,4940.0,64606.0
01055,01055046,01055046011,57.0,63.0,64509,4940.0,64606.0
01055,01055046,01055046012,65.0,70.0,64509,4940.0,64606.0
01055,01055046,01055046013,40.0,30.0,64509,4940.0,64606.0
01055,01055046,01055046014,19.0,14.0,64509,4940.0,64606.0
01055,01055046,01055046015,9.0,14.0,64509,4940.0,64606.0
01055,01055046,01055046016,23.0,29.0,64509,4940.0,64606.0
01055,01055046,01055046017,1.0,11.0,64509,4940.0,64606.0
01055,01055046,01055046018,3.0,12.0,64509,4940.0,64606.0
01055,01055046,01055046019,5.0,5.0,64509,4940.0,64606.0
01055,01055046,01055046020,27.0,16.0,64509,4940.0,64606.0
01055,01055046,01055046021,32.0,56.0,64509,4940.0,64606.0
01055,01055046,01055046022,56.0,106.0,64509,4940.0,64606.0
01055,01055046,01055046023,8.0,9.0,64509,4940.0,64606.0
01055,01055046,01055046024,164.0,181.0,64509,4940.0,64606.0
01055,01055046,01055046025,8.0,39.0,64509,4940.0,64606.0
01055,01055046,01055046026,41.0,65.0,64509,4940.0,64606.0
01055,01055046,01055046027,5.0,5.0,64509,4940.0,64606.0
01055,01055046,01055046028,47.0,56.0,64509,4940.0,64606.0
01055,01055046,01055046029,88.0,48.0,64509,4940.0,64606.0
01055,01055046,01055046030,11.0,26.0,64509,4940.0,64606.0
01055,01055046,01055046031,8.0,11.0,64509,4940.0,64606.0
01055,01055046,01055046032,45.0,27.0,64509,4940.0,64606.0
01055,01055046,01055046033,20.0,45.0,64509,4940.0,64606.0
01055,01055046,01055046035,190.0,199.0,64509,4940.0,64606.0
01055,01055046,01055046036,7.0,19.0,64509,4940.0,64606.0
01055,01055046,01055046037,105.0,102.0,64509,4940.0,64606.0
01055,01055046,01055046038,5.0,5.0,64509,4940.0,64606.0
01055,01055046,01055046039,58.0,43.0,64509,4940.0,64606.0
01055,01055046,01055046041,8.0,11.0,64509,4940.0,64606.0
01055,01055046,01055046042,12.0,29.0,64509,4940.0,64606.0
01055,01055046,01055046045,34.0,22.0,64509,4940.0,64606.0
01055,01055046,01055046046,8.0,17.0,64509,4940.0,64606.0
01055,01055046,01055046047,14.0,14.0,64509,4940.0,64606.0
01055,01055046,01055046048,18.0,19.0,64509,4940.0,64606.0
01055,01055046,01055046049,102.0,75.0,64509,4940.0,64606.0
01055,01055046,01055046050,4.0,12.0,64509,4940.0,64606.0
01055,01055046,01055046051,42.0,36.0,64509,4940.0,64606.0
